Delta;Theta;Alpha_low;Alpha_high;Beta_low;Beta_high;Gamma_low;Gamma_high;Attention;Meditation;BlinkStrength;Flag
137853;36770;12199;12032;10526;4688;3606;1888;47;71;11;1
483889;59084;12199;13829;8682;8345;3334;1741;34;45;6;1
581138;133142;20742;15764;12527;19532;17945;5892;52;46;27;1
707573;224603;12341;18949;9528;8057;2676;1511;22;40;67;1
10466;17744;8270;16552;13480;5088;3828;2699;63;51;-1;1
289841;52229;8908;12001;17029;10980;9282;3194;52;62;18;1
338903;119001;29518;23253;11968;6817;4152;1907;29;78;-1;1
262447;40291;9606;12062;5388;7426;5874;2208;45;60;-1;1
18846;14807;9227;4815;4081;7625;5233;3019;73;82;-1;0
113673;72674;28814;11855;15886;8923;5861;3376;43;72;23;1
41378;24801;5752;8630;5507;6124;4450;2465;38;50;-1;1
340040;58731;17891;10620;15940;15262;5029;1974;49;63;29;1
308345;45316;16354;7004;6653;7911;3492;2258;61;62;-1;1
715909;222537;37699;26492;24611;13887;17208;8950;17;57;21;1
162076;49753;6541;7730;10387;13034;17077;5541;68;47;-1;0
208868;29926;8424;6130;9949;6216;8153;3747;61;77;15;0
163122;35669;10508;6006;4111;4641;2653;1495;60;67;21;0
157967;34301;4597;5927;2506;3649;1573;1206;70;57;25;0
45210;9599;4218;6534;2481;2918;1557;961;85;78;8;1
801307;120379;14080;15186;7937;10179;7859;6451;52;64;-1;1
22374;17160;5938;9145;4230;3005;2503;889;52;72;-1;0
214293;47839;7189;22307;9078;8325;7113;3915;38;42;8;0
439184;35694;6636;10659;4098;3952;1943;715;32;42;-1;0
870909;60293;19650;39490;19998;11971;5426;2419;31;41;34;1
442466;59377;14434;6724;6403;5732;3214;6493;39;60;7;1
96912;23967;5959;6387;4936;4742;4328;1662;53;51;-1;1
58036;20666;10492;9203;5986;8129;5715;3386;54;94;-1;0
31316;12416;3503;7159;7039;6205;2485;1272;67;50;-1;1
40983;20710;7982;8660;8039;5461;4386;2267;40;81;-1;1
70860;26750;10537;7078;4300;6387;2379;1652;65;68;-1;1
392148;90082;24214;12416;10227;9054;5932;2890;67;57;-1;0
