Delta;Theta;Alpha_low;Alpha_high;Beta_low;Beta_high;Gamma_low;Gamma_high;Attention;Meditation;BlinkStrength;Flag
169937;41615;14526;10107;11539;11897;10046;3578;63;68;-1;0
388902;56241;13605;21024;7739;6934;4792;1945;63;63;-1;0
404632;81665;16134;15965;9211;6278;4431;1658;39;39;32;1
655028;160652;30679;20561;30860;16361;16794;7300;60;56;30;1
424427;102509;17160;9657;12334;13870;15255;6916;57;36;-1;0
1171724;125390;14034;22215;20067;32224;6972;3795;41;61;9;1
226364;39374;10281;6208;9431;11371;7957;4812;62;49;-1;0
507917;42635;27812;16285;18092;4920;4110;982;34;73;30;1
284653;42003;5645;8871;3214;2026;1644;1194;18;62;-1;0
29948;12823;8580;5248;7213;5728;2470;1601;59;79;8;0
52180;23769;6742;4594;3483;2400;1707;970;41;54;9;1
223942;55490;7202;11234;5833;5543;2032;1396;35;45;18;1
342678;50392;3684;3879;7328;5615;3765;1483;51;37;13;1
525253;109551;23403;15909;12195;8789;5949;2159;32;66;-1;1
765853;128709;48856;17578;28761;12668;6837;8760;37;68;-1;1
43515;13385;6023;5599;3647;2328;1162;568;53;67;-1;1
1071556;125129;47337;19465;22100;26792;5161;2766;54;53;63;1
912407;38903;13924;13561;16479;13146;8994;3030;62;63;5;1
84995;40519;3985;8565;5137;4264;2544;820;55;33;-1;1
139566;28508;6097;6195;10506;5824;6519;2261;53;38;29;0
699583;100482;44298;25911;15722;14234;8347;9272;49;51;-1;1
63070;7952;4100;2106;5753;5407;4041;1400;93;47;-1;0
74758;35527;11214;6547;6045;3007;3466;1879;51;81;16;1
20609;11519;10678;5002;8634;3532;1802;1465;72;55;10;1
198325;31214;10245;10540;4981;6365;4053;2902;61;73;-1;1
46864;15273;2998;2603;2540;2273;558;251;63;37;7;1
90778;34272;2648;7768;7355;5021;4087;2812;57;41;7;1
599805;104274;33475;25363;15168;7517;3942;4691;11;12;-1;1
210136;103980;7559;13976;9881;5916;2753;2060;50;43;22;1
211296;57347;17011;6206;10355;8718;5492;3388;72;27;-1;0
184663;37377;6649;4754;4847;3729;1934;980;32;47;-1;0
368007;57004;3310;10309;10304;7565;4668;2893;62;33;-1;0
76547;36100;6678;6877;6688;3746;1327;870;72;52;11;1
975912;332370;46708;29381;22445;19691;20302;12630;45;60;18;1
89224;30825;13472;8143;5555;4371;3820;1894;46;52;9;0
41830;21722;6173;7010;5676;4770;2075;2017;42;65;11;0
149216;25756;4474;13688;12247;5887;4120;1837;54;64;16;0
317244;47034;14130;8269;2522;2545;1368;686;16;52;13;0
24284;22836;7405;6492;3024;3301;1474;1297;67;62;24;0
52353;27256;4372;7377;5475;8704;7550;5693;73;47;35;0
26374;24133;7950;5863;7801;7155;2122;2004;73;47;9;1
61576;14534;4087;5996;3764;3563;1818;1749;65;66;-1;1
491337;60066;13122;8249;5840;7402;2807;1565;30;40;-1;0
379254;22749;9443;8266;8482;7526;5028;3075;66;69;8;0
93696;27134;8261;5186;5815;3128;1355;1079;36;58;-1;0
133452;47763;8471;5896;9822;11660;8860;4217;60;56;14;0
289493;86785;22585;11335;12709;9513;9702;3608;63;75;-1;1
106737;26053;9913;10300;8324;2469;1783;1213;29;54;9;0
18276;16917;13316;8846;7632;6087;2887;2635;71;55;-1;1
432590;54090;10620;7739;9148;4396;2116;2169;34;65;60;1
316511;34436;8263;10967;11730;9549;4923;2117;53;39;-1;1
36121;25742;7433;2980;6769;2763;1187;760;53;51;25;1
16110;12220;2661;6164;3223;1594;1082;602;36;65;-1;0
65740;21411;6231;10152;11441;4898;5455;2230;56;43;9;1
747262;127224;36424;13320;20372;8749;5096;3256;36;43;14;1
21387;26074;6261;10295;2282;1374;1016;677;27;76;-1;0
39930;39799;6605;4977;5270;3334;2671;1236;50;73;-1;1
422210;232949;34704;35748;41063;22568;17636;6546;43;65;17;0
78151;15207;3228;2321;3494;2434;1452;435;40;65;43;1
456948;142212;16113;7714;10148;8162;2026;1300;51;27;10;1
80188;26145;7603;5407;7345;8055;2237;1363;62;47;9;1
147672;21871;7249;5121;3900;4121;2688;2582;65;77;-1;1
680874;163520;14329;17965;20217;12154;11169;6262;42;49;47;1
37821;19962;1769;1525;1982;1377;971;373;49;36;21;0
312400;50283;9205;8704;7423;5138;3061;1273;32;50;26;0
32289;20676;8323;11926;9172;8292;3485;2157;75;53;-1;1
339690;39033;13321;7728;9706;7406;6841;3408;34;28;6;0
414716;73611;26590;9323;18170;11237;4339;4532;55;33;48;0
154487;28130;4215;3607;8864;6946;6996;2257;62;45;-1;1
450140;146427;26664;33316;19483;8107;3085;2119;39;76;7;1
105062;35638;5087;4248;3834;2161;1734;436;47;42;23;1
363721;31318;8970;10161;5248;4330;1446;1378;40;75;50;1
993169;168976;52354;60869;24774;17788;16680;2796;32;72;-1;1
339382;45884;17090;13432;14371;11713;6700;4428;45;81;-1;1
85858;41122;7104;10878;5139;7745;2703;1784;53;38;-1;1
54076;25115;12521;5067;8728;7079;3675;2456;61;56;-1;1
68587;30237;8414;15782;12799;12417;3647;2275;67;65;-1;1
258020;60295;27278;7947;10363;7272;5636;3957;67;30;7;0
293794;66004;30566;14772;21967;11341;4124;1577;44;72;22;1
307610;31961;3791;4293;7462;5904;3647;1501;53;54;-1;1
248580;40137;5401;5667;6652;6261;6981;2470;56;50;-1;1
468380;35238;6475;7094;10136;8785;4219;2057;39;45;-1;1
199249;135156;21043;29372;41498;31532;3762;1883;35;54;-1;1
136565;91009;12294;12078;11001;6132;7337;3359;35;65;-1;1
135048;61519;12451;17353;5636;6088;3898;4186;70;56;27;1
652679;141603;38591;22401;21832;22567;13896;6295;79;53;51;1
7628;14530;5002;8551;7253;3668;2689;1635;73;73;10;0
126687;17260;6962;8180;4192;5004;1316;1562;57;81;-1;1
9772;8835;4166;6212;4202;2206;1692;909;47;90;8;0
198297;25574;3300;5681;6660;3141;2216;1327;66;46;8;1
147806;24895;14129;12169;12300;4429;2821;1725;43;79;6;0
150662;93157;16640;13038;13333;6732;3326;2389;30;68;-1;0
90144;24940;7091;11454;7271;5996;3354;3042;49;60;7;0
50974;8911;1802;4917;1922;2074;2071;693;77;62;12;1
174778;58301;7484;11288;6662;8999;2969;792;50;55;7;0
651519;122400;17558;24353;13241;10231;9882;3179;28;70;41;1
859579;186117;23294;11869;12138;10540;11462;5900;23;41;6;1
1049975;344917;34029;57725;45587;19371;11536;14024;22;60;8;1
20101;9259;3594;12354;3425;3533;1775;780;59;83;-1;0
21539;22137;7058;11892;6326;3064;1761;1785;56;79;8;0
237001;41044;7474;7349;5236;5522;4703;3124;50;60;14;0
45675;26998;4863;5116;8628;3111;2574;1514;46;36;12;1
112514;27105;10714;5225;3646;2264;1281;391;29;62;8;0
84347;51168;7488;7849;6424;7273;4361;2211;87;62;16;1
1344637;164425;28119;15711;33611;12759;10855;5727;40;68;-1;1
451012;64052;24477;11100;6585;5248;4123;1444;43;63;6;1
56931;27153;4999;8681;5305;2590;1399;1542;61;73;-1;0
854302;56881;19526;20258;26459;12415;5577;1797;53;52;85;1
376622;64361;12794;9943;15198;7831;8240;2993;85;58;68;0
663964;134385;22973;32001;11370;14448;3065;1347;55;73;-1;1
331547;44006;15146;11926;6701;12938;7515;1448;58;74;-1;1
342555;29101;5590;10377;3674;3516;1956;748;32;45;-1;0
15195;13143;3683;7105;4144;3536;2578;555;64;69;-1;0
74331;47287;11726;7499;6858;6598;3573;2355;56;62;-1;1
12523;17205;11481;7999;8204;4625;2924;1405;58;62;-1;1
13915;12593;6937;5655;6592;5608;1477;1344;73;53;-1;1
319690;32954;15434;10522;10226;13650;6485;6048;67;25;-1;0
282534;52364;8686;7067;9374;9358;4366;3130;69;64;-1;1
153571;33286;6161;14282;12959;4755;5722;2375;52;41;9;1
769079;222394;48820;26904;40481;39996;9714;2973;26;67;14;0
624937;128579;18409;16141;15078;12074;16134;7379;41;48;-1;0
474252;116969;24746;14690;19473;11576;3538;1556;22;39;16;1
21809;5985;4162;5281;3696;3751;2269;735;73;75;-1;0
230787;80901;12500;17927;11547;3659;2133;1223;25;43;6;1
199417;37265;2544;2920;4210;3060;2783;934;44;22;40;1
735518;75655;30096;20346;10816;7260;4575;776;23;73;21;1
32687;18435;4970;7776;5213;4360;1395;1049;64;56;14;1
39679;30137;9973;4395;6247;3052;1695;1714;57;79;37;1
783828;258094;72953;70293;47563;23184;26722;15274;32;64;28;1
367262;56978;3431;10358;10658;7197;4768;2637;58;37;-1;0
148821;54419;35924;30746;16672;8492;2596;1285;24;68;14;0
99873;24189;4958;9031;3593;4005;3041;1532;47;65;27;1
271734;70244;32610;13917;14282;8393;14234;3930;44;60;-1;1
88666;50280;13589;6703;8986;6655;4618;2973;49;55;-1;1
215295;56875;25733;13927;5564;6025;3703;3113;70;91;-1;1
9996;18777;5721;7825;5720;6457;5181;2636;32;71;-1;1
467924;284779;72344;21124;19584;10844;7292;3866;13;57;26;1
724722;240900;39035;35713;33351;14445;14073;9697;30;58;8;1
118785;23148;21077;20976;15922;5324;5595;2222;52;96;21;1
84827;20216;5888;5014;5817;3503;4019;1839;75;73;14;1
58534;19311;9585;7316;4462;4779;3647;1710;60;72;15;1
48231;7633;5737;3901;5410;3391;2941;1484;43;72;-1;1
510505;46075;15572;13554;7587;9148;3777;890;49;42;6;0
296360;36279;7691;8728;8555;9229;5972;4023;56;61;6;1
216458;22188;7544;18339;5936;6193;2921;846;48;82;-1;0
180574;32896;6569;7838;5330;10301;8793;5274;56;42;-1;0
249236;19746;7445;8094;4111;7172;2905;2777;56;68;-1;0
25347;14214;6777;8742;8683;6059;4971;2829;57;63;-1;1
237024;38445;13612;8759;12134;11221;10493;5727;70;56;-1;0
1108917;214452;15042;10516;24695;15239;17518;9971;54;35;24;1
165324;56281;10991;11445;8851;4327;4168;1236;37;59;-1;0
11108;13833;7649;6642;1893;1903;817;448;31;75;6;0
188038;35478;8279;2146;2152;1716;1036;771;31;61;19;1
206589;36916;6882;4362;10618;6831;9631;3553;77;46;-1;0
392006;78144;10574;11132;7284;8606;10005;5419;45;51;8;0
123454;23456;14301;11530;9548;4878;3498;1574;46;74;-1;1
229305;85229;14976;21881;13756;10412;11153;8419;59;51;29;0
80102;49877;8686;5840;5386;5706;2105;1217;71;55;16;1
171410;61607;23366;22523;10364;9066;3837;1301;43;79;-1;0
23294;15677;11362;6242;5820;3384;2118;1439;50;64;-1;0
22696;16035;14597;8126;7794;12335;10680;3937;93;67;-1;0
108079;33437;7672;4709;5843;5927;2489;1326;41;47;28;0
411630;84599;19225;8105;4883;3210;2971;1535;62;62;-1;0
742217;118005;44062;14106;9306;9296;5250;8595;35;66;16;1
258617;50388;8252;10059;8799;8561;6198;1499;55;56;-1;1
1185747;159930;24106;18911;15810;15267;9653;4223;34;61;28;1
501601;35478;5641;9862;8456;5282;7722;3615;78;45;9;0
554831;42400;24763;21219;17439;4309;3675;1531;36;74;8;1
507381;45921;16402;7069;6559;3534;3086;1451;65;49;12;0
165908;51103;9916;10966;6617;5161;2189;956;49;39;-1;1
478080;42612;13423;9244;6004;5252;3906;3088;53;70;-1;1
89282;13031;3077;2474;2843;2681;2533;2031;52;55;16;0
191752;59491;10119;10396;9528;4227;4011;2512;39;55;-1;0
731263;143074;29243;39341;20369;9748;8527;6296;33;66;-1;1
287085;43751;16237;17858;12143;8017;7075;2217;47;74;-1;0
192071;21278;9304;8616;10451;6209;6770;3066;68;59;19;1
462633;182649;27563;30149;22282;8659;2999;1918;32;55;17;1
596841;50862;7950;15186;7133;6431;3009;3398;48;78;38;0
36697;37449;14303;7113;6990;8446;5100;1940;76;47;-1;0
204431;55997;14997;15549;8241;7969;4488;1659;57;65;9;0
214803;85374;7417;6839;7772;9754;4885;1556;44;35;-1;1
393946;103484;19695;20795;22502;8370;3735;1748;34;62;-1;1
966704;71166;30330;28617;23452;11274;3146;2897;38;82;11;1
525163;69981;15444;18098;7998;5600;5460;1695;22;67;6;0
16901;9235;5077;8163;2182;1757;560;307;52;66;-1;0
128716;26156;8228;8959;8775;7235;6261;1733;94;62;-1;0
11074;13964;9896;6755;5339;5087;1886;1506;53;78;-1;0
188417;33664;6165;5215;4485;3507;1803;1088;36;44;-1;0
397198;141821;10824;13275;10772;6878;3462;3576;32;64;7;1
347239;67842;8635;5758;6215;5573;1525;2289;63;71;19;0
531236;120798;28067;10139;13916;11977;13683;8902;58;56;35;1
23501;16828;3980;6494;3818;3070;761;782;59;51;5;1
228884;21133;21176;20553;7738;8446;4338;3043;61;99;-1;1
674365;133529;48066;17112;28740;12528;7303;8536;33;71;-1;1
168375;8482;3657;6960;3989;1815;1425;887;55;85;-1;0
37983;15616;7052;1660;2624;4610;5157;1452;63;43;8;0
473610;32191;8567;13814;23085;9762;4766;2119;50;64;-1;1
295465;38859;4900;6326;4851;5415;2616;1605;58;25;32;0
395787;27024;8070;9405;4851;5298;5852;1957;57;46;11;0
570600;55122;12815;12106;10049;7249;4961;2333;58;72;10;1
31112;19648;6893;2893;3202;3487;2838;1317;55;56;8;1
155268;77702;6128;14906;8531;7586;3926;3574;58;54;-1;1
17208;8113;4469;9341;2400;1580;706;311;48;78;-1;0
251033;63929;24642;10851;6031;3900;2717;1114;50;51;41;0
874405;76943;9863;10143;5903;7535;4176;2368;24;33;21;1
159173;47967;10312;10320;10877;4741;3696;1860;47;59;-1;0
35753;22699;4642;7112;6373;9692;3586;2034;94;51;-1;0
613947;165604;57644;40732;35336;19411;21910;7559;44;55;33;1
75217;38343;5899;3421;6111;3065;1866;1026;57;33;12;1
677684;112670;129303;31015;54079;26878;24518;16025;51;42;-1;0
308077;95786;29275;14113;10288;4594;2283;786;28;36;44;0
50548;45089;9336;8067;8770;5116;2477;964;41;29;6;1
27470;14527;8348;7246;7197;4991;2848;1395;67;72;-1;1
85206;22644;4863;5888;5226;3481;2558;1156;55;53;36;1
468162;37666;16061;17395;3651;4243;2699;1280;38;43;22;1
625525;56973;16087;8947;10126;12988;8548;7266;84;72;28;1
74879;27531;12342;9897;8790;11389;8898;3967;72;70;-1;0
38715;21888;3909;4373;5913;5481;1685;795;54;37;7;1
269436;32991;13147;6307;5766;5596;4840;1631;45;73;12;0
33842;14829;5943;7995;3315;4324;1208;709;60;77;-1;0
271917;184883;47034;28745;15507;11952;3516;2073;46;43;31;0
1026653;120377;33368;31748;32001;38643;6914;2737;62;53;13;1
157591;18009;3734;2961;4639;7644;8170;4623;41;32;-1;0
44428;21399;6679;9477;3673;5314;5040;3194;68;65;-1;0
43602;17748;3150;2111;1249;1580;1056;337;51;44;-1;1
709007;94393;69543;89806;130537;35602;19766;7573;46;76;-1;1
100958;25417;4739;6115;5896;6637;5181;2053;59;52;-1;1
51100;32426;19966;11466;8771;10127;9690;3324;61;73;-1;1
230022;34405;5579;6759;5001;3168;1837;1301;46;63;8;1
449951;91170;29681;23214;7657;5495;8401;2956;57;43;7;0
643856;404681;56506;72743;60222;52048;29536;12033;40;48;20;1
97153;30588;9688;6401;12063;7278;6885;2944;71;49;20;0
262683;43281;20492;28001;8537;4825;2204;1892;36;57;-1;0
366127;54417;3631;13309;10723;8305;5027;3323;66;35;-1;0
746257;113182;22058;20328;16903;10871;8103;5468;35;27;-1;1
879911;202556;49937;31379;10013;20787;17798;10094;33;58;15;1
456412;79915;20175;13871;10783;9236;5369;4893;62;44;-1;1
240562;98992;7066;9483;7182;8825;6056;2661;39;5;-1;0
273934;37385;20236;27712;7185;5141;2494;1875;35;63;-1;0
66498;47702;4151;6171;5245;4280;5898;915;54;33;9;1
38320;10844;5006;3681;5593;4859;1798;1242;80;73;21;0
1004882;88195;17954;35468;23491;17734;10570;4846;35;70;13;1
240444;40273;11795;4566;7624;10751;5325;2491;91;85;21;0
199625;73194;10929;22143;12499;5536;3598;1826;56;72;14;1
7923;14424;5054;5123;4595;4850;5358;3102;63;56;13;1
31289;14370;5001;3907;4539;3193;2227;1613;65;75;8;1
1257483;83932;47635;17674;25108;14056;7325;3275;30;69;31;1
132863;28268;4389;4644;7948;6971;5439;2758;63;53;15;0
91072;20350;5140;6066;5301;3313;3741;2556;69;70;14;1
351763;45335;21276;13286;9981;7363;5134;2375;67;82;12;0
986137;215108;118854;45100;65243;43242;36620;23495;55;59;37;1
851480;329695;102929;52188;19528;25749;12882;4349;29;51;-1;0
142041;56519;6101;6450;8742;4950;4279;1590;53;60;8;1
370002;63718;11814;14216;11097;10285;11575;3858;59;22;-1;0
218244;55124;9752;9723;8051;11223;11745;8543;68;51;-1;0
12684;33786;7252;12414;10993;10789;6710;3368;84;57;-1;0
182317;45315;8759;10889;16970;4354;3810;2478;48;65;-1;1
386340;52200;10858;8653;8075;7086;2146;1450;52;32;7;1
38822;31537;16286;7026;10284;6904;1991;1603;58;56;8;1
58240;19321;3814;2468;2338;3343;1072;712;63;42;-1;1
188513;116881;24367;9455;15123;13213;19736;9889;59;67;10;0
305212;29519;13512;7528;11508;6649;7332;2740;49;59;-1;0
317451;31799;14594;10394;8774;6022;7336;1378;60;67;10;1
179577;22721;8788;2550;3340;5462;8787;2752;68;46;-1;0
100007;13562;6906;3156;3315;2894;2699;2036;75;73;-1;0
520815;121087;12740;14523;11790;6752;2455;1883;46;41;22;1
38281;49419;6432;13693;6169;4137;3122;1446;27;53;6;0
182154;28990;7098;6506;7506;10410;11535;6060;71;53;15;0
104636;47510;11308;13785;13037;10592;8581;3363;57;46;24;0
1059525;171461;53032;24444;45521;41565;8475;3003;35;70;-1;0
364810;67398;7537;12396;6419;5621;2187;2542;38;46;24;1
813890;87916;11670;17761;8263;4930;3613;1223;28;57;7;1
97764;10818;4218;2565;2583;2864;1691;846;56;48;8;1
33984;16305;6517;6548;6044;10400;7200;2669;80;47;-1;0
20001;16580;6484;7264;7670;5501;2402;1580;57;77;-1;0
736572;138728;19118;36670;23417;13743;9816;6840;28;56;-1;1
17944;10187;4302;5422;2675;1552;1230;630;48;77;7;0
471849;53522;28608;19484;25039;6968;3627;2838;56;89;6;1
55021;11114;3422;3699;2291;2974;1217;1205;82;73;17;1
58695;22830;9382;3124;4621;6104;3905;1867;65;58;-1;1
21076;13568;8632;13423;6388;6618;1684;1268;61;60;-1;1
584177;95039;28539;12251;19319;11856;11159;6193;21;28;-1;0
425558;97995;16563;17614;11653;9184;6398;2116;45;62;6;1
538979;86628;17486;23334;10823;15355;13029;3426;58;53;39;0
97143;32828;26138;14348;5976;6485;3785;3303;54;75;31;1
120250;16697;9220;5958;9317;9534;6569;2206;50;58;-1;0
34624;27277;3969;7045;6869;5250;3494;2075;83;66;-1;0
529573;31157;5206;4560;4203;3425;2219;1586;49;21;-1;0
227811;79748;13759;11365;10440;4156;3064;1675;31;51;26;1
81482;23594;6314;8237;4201;3441;3285;2122;60;72;7;1
144285;55217;21260;15952;8344;9411;7714;3813;52;69;22;0
20177;21153;2640;5475;2351;3304;2252;1473;75;83;10;1
123208;15232;8520;6484;8878;7451;18259;10064;63;70;-1;0
308347;102249;13286;7790;3578;3518;3683;784;42;66;23;1
115110;38501;5537;7297;5803;4688;3690;1885;64;69;10;1
264628;62388;12902;17869;11119;10684;3052;1984;64;62;36;0
765594;105622;29484;21695;16788;17981;11646;5800;52;59;-1;1
26929;42572;7266;5850;9976;7636;2503;2441;74;42;9;1
244770;121783;17796;16955;12417;5436;3767;2711;51;51;34;1
164955;27615;23132;8832;13931;12755;11045;5931;67;62;16;0
217381;50188;10510;7606;4508;2755;3204;2232;61;69;10;1
57135;41756;5396;8087;11176;5615;4654;2474;77;21;-1;0
78826;30775;9271;5190;10889;3969;2476;1159;57;63;-1;0
140070;67644;7015;7634;10497;6458;7803;3686;56;35;18;0
214207;23062;6181;4500;2725;2843;3092;1710;47;70;-1;1
1079156;152302;23403;15649;15247;6231;5660;1520;23;68;13;1
42067;15562;8063;5257;8207;3632;5369;4470;48;73;-1;0
378966;40710;5128;6937;5781;5628;3572;1898;44;55;-1;1
189939;32819;16920;5519;14907;6026;5605;1795;54;59;-1;1
1422216;170509;75456;23168;39811;12812;7088;4262;48;64;40;1
68648;27813;14164;12865;9007;5323;4619;2449;29;80;-1;1
26794;10651;5005;5131;4706;2706;2668;1184;66;76;32;1
42851;40359;4735;8791;9177;5602;4912;2709;74;18;-1;0
110359;16231;2563;2671;2665;1544;1544;429;48;45;16;1
475517;33441;12303;10709;12429;11711;6220;6038;52;53;14;1
1412844;86759;11673;15188;28127;6630;7117;3095;36;82;-1;1
31141;24826;12449;5988;7220;5860;2353;1485;67;48;21;1
87418;17115;7400;8362;3979;2251;1052;951;44;70;10;1
526641;203534;26654;15631;13450;5409;4199;2870;18;31;16;1
36230;17528;3061;2347;2270;2703;3119;1385;53;47;13;1
754598;91593;15860;16918;10510;8218;6735;1950;25;65;15;0
421077;69794;9256;10395;17739;7790;3707;1467;49;49;20;1
203975;26798;6152;6661;7080;9497;10320;4295;76;58;15;0
74955;28980;10576;4114;4873;3714;2244;1887;51;30;10;1
233909;41829;11056;9563;7156;7839;7397;4172;54;49;12;0
20519;19527;3370;6542;5163;4928;1740;1319;47;46;-1;1
140307;31754;5222;4706;3541;2965;1742;1311;58;39;36;0
245463;27141;5792;7352;5111;5464;5026;2307;68;90;-1;0
425670;60677;8308;18651;6296;6676;8219;4463;55;80;19;0
1096562;188210;37686;44997;22360;16815;9892;6474;48;66;44;1
728423;61820;10553;27675;14761;8904;4356;2519;33;32;23;1
170957;60288;14427;8529;10010;9236;7149;4553;47;48;-1;0
173248;30746;6981;6052;2465;3898;2730;1885;78;86;21;0
480091;44588;5914;15057;6773;7020;4654;2111;55;64;-1;0
72754;26610;8928;8091;4421;6481;5302;3511;74;79;-1;1
57437;19853;20885;21270;5557;10112;3761;1929;80;94;-1;1
126704;54241;9631;7307;5152;5576;1866;1909;62;51;-1;0
219867;34636;8630;3878;4118;2909;1958;941;28;56;8;1
250220;67395;11270;5045;4742;2914;1758;1114;46;59;21;0
30114;35342;18667;12278;8260;5205;2610;2845;54;64;-1;0
526391;46012;14530;17549;6846;7625;5826;1639;37;68;-1;0
197254;40269;27170;19648;18074;10911;4827;2010;55;65;8;1
47877;29959;6130;12444;10277;7258;6302;4056;64;61;14;0
11860;9943;1912;2490;3871;3766;1330;1792;69;51;-1;0
638402;262886;76126;21433;17978;10554;7143;4306;10;59;26;1
139358;51008;21579;6681;6677;9002;11113;2311;60;68;15;1
153694;85833;15975;11573;11709;6097;3225;1985;54;44;22;1
1005223;110406;21753;21830;21091;10829;5398;3979;18;51;42;1
833467;475042;68380;116549;139095;86554;51372;26463;61;59;51;1
133847;35990;11261;10036;10523;5854;5723;1702;46;65;-1;1
140444;15077;4350;4093;3554;5947;3938;1981;64;61;10;1
314982;71624;9903;7109;6142;4259;4256;1118;60;43;7;0
21607;18933;4988;7242;6488;5508;1470;972;66;58;25;1
24337;109734;17397;12879;9333;7199;2736;1251;66;50;-1;1
99498;52556;6565;7304;6050;6058;2890;2575;50;39;13;0
298219;147988;12620;21861;9529;12965;7591;4492;59;65;12;1
25206;14420;3791;9637;7316;4904;5844;2891;65;60;7;0
104006;31792;5310;7279;7132;6645;4005;2335;72;65;10;0
18741;25574;4070;2712;7230;4585;3701;1235;63;42;-1;1
1077136;171453;30858;24468;22347;16815;11566;3653;71;65;47;1
123296;27836;11463;8500;4746;7864;7052;2950;54;67;-1;1
141152;29442;8435;13194;10828;8073;3281;2486;77;70;18;1
67532;35656;4238;8353;10686;5305;2723;1554;47;15;-1;0
217037;10229;4972;4900;5950;5637;7015;2585;77;52;-1;1
43836;33562;12775;7214;8024;6221;4178;3519;79;63;-1;0
173154;25130;11085;8667;6558;4359;6096;3134;42;85;15;0
308106;76662;18881;17737;11689;8789;5106;2098;51;63;8;1
569885;85957;20925;21822;17455;9891;13263;5060;29;62;11;1
821301;109208;29108;16524;11323;10795;6710;2906;21;57;8;1
208701;39637;11672;9303;5720;5277;2363;2141;67;69;18;1
290645;219488;18606;13354;18412;11906;7136;2144;49;67;30;1
450228;154568;16646;23401;16980;18427;7847;1827;34;47;37;1
147880;31092;11653;4575;7772;5030;6263;2193;62;70;16;0
921609;142755;45196;51820;21403;24814;11963;7139;27;65;18;1
19817;19411;2668;6592;4289;3039;1268;983;58;28;15;1
29531;24774;7461;12056;11870;6306;3074;2380;59;50;9;1
415628;93668;24067;19767;8638;7054;5286;1749;6;39;6;0
1050672;154973;52596;25837;12431;10269;12229;3693;21;60;10;1
86134;39763;8463;6026;8508;4168;3283;1247;54;62;-1;1
202756;48904;12667;10949;23236;15446;8893;3649;59;61;10;0
253011;43484;3241;5212;6744;6744;6639;2437;56;55;12;0
227455;102719;10801;25570;10039;9355;5814;2165;48;58;8;0
617252;161241;51460;86977;73369;41634;10068;3541;13;20;50;1
348448;54341;30386;9732;14082;11150;9129;4866;62;59;13;0
255894;22615;14115;7470;8899;3681;2723;940;42;62;36;1
118321;46925;12341;10893;6520;7284;5575;1492;45;63;-1;1
282987;50930;17398;10658;7684;9615;5948;2879;65;79;20;1
213850;51000;5402;7087;9288;13071;6478;4754;64;41;-1;0
493302;177496;32565;15283;16453;17750;14314;5483;56;60;56;1
432129;45664;11246;9513;9200;9587;3747;4780;43;46;14;1
223676;37168;14693;16662;9034;5892;2756;1286;53;87;45;1
303189;69437;22998;17606;12049;8559;5025;2596;49;71;-1;1
249798;75145;11238;5994;5782;4663;5002;4256;50;57;29;0
954747;51327;22708;26096;31825;36618;23753;10763;41;52;-1;1
614511;70224;26041;16223;15180;9114;4816;3356;26;61;17;1
20747;16600;5775;8780;3999;4768;2147;1535;52;59;-1;1
790516;103719;25836;13511;10260;9887;12375;4721;63;59;30;1
124476;33483;4715;5304;8015;5746;4838;1184;60;62;-1;1
16693;20988;7401;13479;11315;5709;2222;1896;65;60;-1;1
196670;59737;9285;10849;7001;8496;2898;901;39;50;16;0
38342;45045;12536;7388;6151;8652;5194;1645;71;44;-1;0
157004;9370;4974;5701;2958;4510;3615;1467;79;68;-1;1
524106;249713;19655;52271;38413;19761;25356;14354;23;54;7;1
42804;23397;8268;8150;8188;3131;1669;1252;45;42;15;1
1838799;204942;62855;19157;31581;18765;23405;8606;24;68;35;1
17093;20078;6066;14176;9234;5386;2309;1854;63;60;-1;1
531518;113304;9064;11164;9397;4689;2691;1490;62;48;20;1
243084;17652;7191;15479;5841;6118;1796;1689;35;69;-1;0
644883;80918;23995;13973;8397;5936;9235;2076;22;61;59;1
1006896;209170;31543;45359;35281;28987;8479;3486;39;55;7;1
305341;97720;25051;9820;8360;11662;14204;6586;56;42;21;1
59116;16175;5500;4947;5758;4888;3009;1873;68;48;6;1
580894;201389;52649;41414;38262;21595;26334;12797;38;72;22;1
966115;57999;32689;42365;85739;24751;7454;13592;38;30;-1;0
50509;25634;5150;9306;7515;4066;2519;1498;58;40;6;1
344564;21143;6982;6493;7772;5151;7159;3729;72;63;8;0
507299;66609;37746;31819;13631;7317;5310;1971;15;61;5;1
110067;124722;23545;12116;8698;4538;3945;1363;65;42;41;0
520923;56855;24547;10493;12171;7388;4090;2958;27;64;17;1
533061;74393;15496;28395;29848;7033;1992;2566;32;67;-1;0
60643;44171;7167;2900;10048;5731;2541;1829;65;55;6;1
120358;16637;10511;8702;8946;6601;5615;3228;73;71;-1;1
108534;19056;6570;5446;3754;8222;5010;4636;82;56;-1;0
188465;39819;16943;7921;9453;10261;8210;3882;69;81;-1;0
146830;53482;8338;4711;6329;4429;4231;1339;58;38;12;0
93917;41435;8189;10728;6411;5075;1919;840;57;43;8;1
6028;8762;4272;6733;2322;1747;1269;352;46;62;-1;0
305952;42653;5371;3797;5113;9865;6106;2509;36;14;-1;0
34579;11049;5919;3920;4447;4843;9029;2541;41;69;-1;0
34201;14427;4685;9531;2949;1573;1006;433;47;67;-1;0
23201;18807;5706;4387;4079;6153;3622;1896;71;69;-1;1
