Flag;Delta;Theta;Alpha_low;Alpha_high;Beta_low;Beta_high;Gamma_low;Gamma_high;Attention;Meditation;BlinkStrength
1;1063609;20492;3055;2907;10272;3918;6648;2331;56;27;85
1;1183294;80105;18982;32060;9528;13824;9760;5894;43;27;-1
1;1386251;47083;9128;5270;11925;7379;2925;2173;48;35;-1
1;637344;25389;8861;2108;5115;1826;2343;204;50;60;-1
1;210241;46098;24653;4110;11633;5058;4455;2776;40;70;-1
1;1293737;47832;51024;8026;8783;24485;10275;3872;48;77;-1
1;27262;8423;16627;5233;5264;3258;2619;920;47;96;-1
1;1184935;62554;18135;13963;5528;7369;3552;1128;51;100;-1
1;600306;37542;4185;31150;10271;10227;5989;1815;60;100;32
1;446857;223316;100596;28767;13611;11869;17962;2492;40;97;-1
1;183587;47190;12642;7050;17278;6818;2276;3881;40;81;-1
1;29591;26738;1018;1939;2872;1594;841;170;35;63;43
1;312188;84775;2128;11429;4597;11142;8124;3980;30;47;47
1;86641;32267;7872;6937;11853;9165;5479;2680;50;40;-1
1;119925;7633;2430;12758;2471;4906;2537;747;57;54;-1
1;413947;11729;10246;14198;8426;5409;6503;3006;69;81;-1
1;332885;126832;4956;73875;64020;25654;9649;3963;70;91;-1
1;2110933;157419;12899;8528;12550;20492;22398;12137;66;81;-1
1;171244;24918;16166;11092;3265;5923;2026;1744;60;80;-1
1;142237;35021;14190;8171;12062;8898;2669;557;60;69;71
1;674154;287910;83792;24681;21801;29188;16309;1873;54;67;-1
1;1739084;203712;217408;120272;51866;37059;38620;14695;48;94;-1
1;683190;27642;3758;2375;2504;2770;984;1361;43;77;-1
1;370028;8295;2125;3266;932;280;782;171;23;81;-1
1;888276;448034;19695;13983;38601;24856;10152;6786;20;63;65
1;345803;537217;42863;44611;34663;23046;9514;5741;13;38;45
1;628892;136732;19985;44683;22020;12299;7367;11665;11;48;-1
1;774842;339863;11989;24140;31295;31387;8604;6636;26;27;-1
1;445328;12879;8689;4831;1450;1968;810;759;30;56;-1
1;1465222;83650;31129;33847;22517;10407;8040;8851;38;74;-1
1;368578;120517;23798;75851;39805;12654;24262;6292;37;78;-1
1;95568;31855;2315;992;1258;1309;823;1280;27;78;36
1;2024031;168445;23732;58781;41990;61849;17134;5200;40;64;34
1;1071012;36511;8796;7872;11886;2453;2591;2610;35;60;-1
1;187346;12795;12329;6634;1978;2830;1866;474;40;67;49
1;1757790;295897;121083;3241;20725;16157;18786;6050;41;84;-1
1;2064985;143470;38446;14474;30204;8806;5206;3270;23;83;43
1;351032;49767;26149;21691;7543;2384;3018;2316;17;91;101
1;98760;42013;1343;3794;2887;2510;1769;1227;11;66;-1
1;55928;5032;4729;6601;3477;3165;2885;804;27;77;-1
1;1283631;12943;22635;21004;2564;3024;1309;1252;29;94;147
1;175354;11571;1490;1258;1796;610;510;185;35;77;33
1;499055;222845;1317;10992;15660;8682;7586;6492;30;66;-1
1;49855;16826;6903;4916;3425;3604;1585;1258;27;54;-1
1;646408;300541;46426;22816;27001;15414;8612;2575;26;30;62
1;1025819;173980;125795;91680;46172;23896;11557;5082;29;47;-1
1;322096;2056;2267;923;565;425;179;149;38;78;72
1;1043245;57974;7215;96540;4933;12329;4103;6594;30;88;53
1;155497;52435;13122;32586;8343;7674;5933;2581;38;97;-1
1;72827;27008;18492;8523;2380;3822;1493;215;40;96;-1
1;112452;38067;9089;5903;5185;2779;5109;1451;35;84;-1
1;142458;53090;31483;17082;10148;7307;5411;1257;34;78;-1
1;1796255;485747;184190;12525;32772;14033;13896;35563;20;70;-1
1;81222;54734;7858;25987;9921;19065;4239;721;30;66;-1
1;1239439;36008;7711;24066;85678;19460;7861;3692;50;61;-1
1;569892;13970;13041;8231;5290;3479;2778;2569;51;66;-1
1;414451;23146;8880;7714;12835;5208;6122;2922;70;67;-1
1;63047;33097;5348;3074;1704;1601;2834;692;53;61;-1
1;932642;24634;8852;13903;3022;7260;4201;2693;48;74;-1
1;6914;36664;7781;27857;1173;4683;4041;1637;44;70;-1
1;248984;19819;2551;9777;6234;6323;1513;1122;48;70;-1
1;1011993;234064;10699;20332;14439;9848;11562;3796;47;64;-1
1;25758;3227;2517;4489;2604;806;280;80;40;69;-1
1;767533;252331;30629;11574;17251;4716;4568;2657;24;51;-1
1;2157338;161027;47584;39429;42891;15003;28809;21860;11;51;-1
1;110492;37316;23273;1004;11991;4986;2727;2023;20;64;-1
1;574070;102498;20045;24098;35296;9095;14729;4222;17;51;44
1;2000297;225723;13178;7104;13935;23614;11587;4634;35;43;-1
1;16946;26719;6133;17769;8356;2306;4569;1379;34;48;-1
1;15684;8183;9107;3209;4633;2555;4005;3195;38;53;-1
1;1199290;132793;20590;19227;6466;22997;17370;4158;44;51;-1
1;71170;22527;9515;13191;4840;7088;3018;709;51;75;-1
1;9149;11236;2688;6917;2646;2184;410;1601;60;75;-1
1;57063;88376;4038;7737;9469;2877;682;1093;44;54;-1
1;791118;235044;45985;40999;34848;10778;10513;3019;29;56;36
1;14985;8219;1104;5265;2934;3027;371;211;34;53;-1
1;204936;5071;4673;7592;3026;3782;2212;2442;40;60;-1
1;26554;21704;845;9665;2349;5173;893;622;57;69;-1
1;20595;1899;7066;11362;6385;1530;1469;1111;66;88;-1
1;23871;10336;6514;2898;5258;3273;1721;841;64;90;-1
1;23631;6720;6535;4519;2984;9082;3529;410;75;83;-1
1;15434;25411;2576;6750;4158;1819;950;545;61;81;-1
1;165334;31241;49724;19725;28411;26906;17038;1783;77;74;-1
1;490172;41171;51784;29798;2367;10228;9061;9778;67;84;61
1;28968;8049;826;2821;2599;1097;229;716;51;80;-1
1;415601;109737;60488;34406;18685;14053;13217;2250;54;87;-1
1;22422;15305;13430;13481;2488;3772;1698;627;41;91;-1
1;364290;22408;22667;20817;9727;23680;8291;6365;56;84;-1
1;21503;21677;4043;5078;2512;4524;2637;1567;60;84;-1
1;51232;21045;8142;9383;4014;3284;1945;1249;61;84;-1
1;123317;11045;1658;14641;5134;3278;3356;641;64;80;-1
1;217535;14565;14875;16857;5201;3557;1142;1350;50;87;-1
1;770438;247426;33493;29995;23464;14422;16162;2774;38;83;-1
1;1050852;170650;66675;30684;17261;13150;4374;4565;30;80;-1
1;238289;26993;7286;6039;10790;3676;1958;912;29;69;-1
1;161775;72335;6221;8202;2093;3504;1123;957;24;50;-1
1;404912;30352;3343;4626;7369;9196;6129;1591;40;48;-1
1;409113;28033;2170;4539;6849;5164;2289;2039;53;38;-1
1;367252;50890;4344;8103;5548;3886;9819;1084;48;34;-1
1;120888;26401;21370;7551;23910;2736;2090;978;50;44;-1
1;1276126;82113;72082;85007;24901;22545;9270;5427;41;63;62
1;1642967;56438;27535;14777;13827;8963;5451;1953;37;75;-1
1;692656;126016;9104;54861;21399;24239;11716;5936;43;81;50
1;28776;15294;6774;437;1869;758;1477;306;40;78;-1
1;883054;158698;35401;39738;16932;14006;16711;2735;34;67;-1
1;939787;62338;16232;18303;8661;16724;13753;2323;41;64;-1
1;49006;19749;6591;8021;6824;3348;1333;865;40;67;-1
1;764889;33925;8625;3933;5311;3979;1937;1488;50;64;-1
1;71784;44700;3537;13637;6472;3111;1513;550;48;61;-1
1;1564665;54231;3879;14572;8878;13304;6509;3335;47;56;84
1;902319;122997;8681;55397;9653;11137;27310;3374;41;54;-1
1;33079;17609;4701;1038;1446;1463;741;414;38;54;40
1;766627;27938;20714;4747;4405;6785;2482;2003;48;61;-1
1;1837643;187984;131624;44719;79503;20324;13614;4468;35;69;63
1;1107471;145700;19195;18500;15098;19197;7112;7374;41;63;-1
1;445023;21585;12957;4477;4417;5589;4690;5408;50;69;-1
1;89419;46136;3076;23980;11496;2003;1331;1099;34;66;-1
1;39801;8486;341;2412;2058;1268;548;282;41;56;-1
1;188438;12340;4331;4297;3758;3637;1905;1152;48;63;-1
1;146658;33944;4347;14898;4158;3738;1137;1309;41;61;-1
1;203764;16658;17817;9580;19269;16735;8134;3291;69;64;38
1;161248;57924;29266;16643;15999;8018;3456;5247;64;74;-1
1;68621;11032;1646;1105;1697;1381;1050;1049;60;64;-1
1;1039271;183754;2950;14795;9171;4496;5538;3954;47;48;-1
1;818680;37355;11388;30047;7750;9110;3317;2045;34;51;-1
1;56536;28589;2695;3577;6202;5500;4202;1246;40;38;113
1;1423115;88413;3872;1799;7444;4698;1990;384;40;38;-1
1;1314830;75670;44916;55128;46773;73773;30767;4830;40;38;-1
1;1079435;51670;8761;22071;9496;10518;5651;2532;40;38;-1
1;1326766;136557;23707;51769;10877;11622;3515;7644;34;48;-1
1;132750;26852;18376;3809;11491;3884;4434;848;48;66;-1
1;763998;274364;294584;21687;47501;66718;61913;16329;48;67;132
1;939403;32205;7543;8875;14149;4498;2478;1994;48;67;-1
1;137998;66213;13877;7577;11144;2730;4062;1428;30;74;-1
1;34676;23858;3628;1501;7535;1483;1122;2132;29;60;-1
1;312421;7774;2773;7032;1700;2478;2501;293;35;66;-1
1;235486;189017;42985;28973;22821;30360;43247;7122;35;54;-1
1;1513962;41757;41830;37881;33089;36708;25332;13439;57;64;-1
1;180801;130315;22243;2725;5052;8213;1317;2011;60;66;-1
1;161362;25453;1455;1873;957;1425;1288;405;50;47;52
